sector_code,municipality_name,municipality_code,sector_situation,MR_name,sector_type,avg_income,total_households,piped_water,well_spring_water,stored_rainwater,other_water_source,private_bathroom,bathroom_sewerage,bathroom_septic_tank,bathroom_cesspit,bathroom_ditch,bathroom_waterbodies,bathroom_other
150140245000104,BELÉM,1501402,urban,Metropolitan Region of Belém,0,570,241,112,122,0,7,237,18,208,7,3,1,0
150140245000105,BELÉM,1501402,urban,Metropolitan Region of Belém,0,397,215,186,29,0,0,213,3,0,210,0,0,0
150140245000106,BELÉM,1501402,urban,Metropolitan Region of Belém,0,454,417,301,116,0,0,417,55,158,192,12,0,0
150140245000107,BELÉM,1501402,urban,Metropolitan Region of Belém,0,610,289,165,115,0,9,288,12,259,17,0,0,0
150140245000108,BELÉM,1501402,urban,Metropolitan Region of Belém,0,457,200,158,39,0,3,200,87,8,97,8,0,0
150140245000109,BELÉM,1501402,urban,Metropolitan Region of Belém,0,527,242,159,70,0,13,228,32,68,94,13,19,2
150140245000110,BELÉM,1501402,urban,Metropolitan Region of Belém,0,415,263,94,168,0,1,263,4,3,256,0,0,0
150140245000111,BELÉM,1501402,urban,Metropolitan Region of Belém,0,592,119,80,38,0,1,119,17,65,32,1,0,4
150140245000112,BELÉM,1501402,urban,Metropolitan Region of Belém,0,681,260,225,35,0,0,256,42,25,187,2,0,0
150140245000113,BELÉM,1501402,urban,Metropolitan Region of Belém,0,655,190,174,16,0,0,186,79,64,37,6,0,0
150140245000114,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1059,452,358,10,0,84,452,35,200,217,0,0,0
150140245000115,BELÉM,1501402,urban,Metropolitan Region of Belém,0,702,255,244,10,0,1,250,147,101,1,0,1,0
150140245000116,BELÉM,1501402,urban,Metropolitan Region of Belém,0,515,191,167,20,0,4,183,3,124,0,52,0,4
150140245000117,BELÉM,1501402,urban,Metropolitan Region of Belém,0,842,295,202,85,0,8,294,14,276,1,3,0,0
150140245000118,BELÉM,1501402,urban,Metropolitan Region of Belém,0,697,246,149,62,0,35,243,24,1,211,7,0,0
150140245000119,BELÉM,1501402,urban,Metropolitan Region of Belém,0,390,265,250,13,0,2,264,14,231,0,18,0,1
150140245000120,BELÉM,1501402,urban,Metropolitan Region of Belém,0,542,670,295,203,0,172,626,35,42,351,197,0,1
150140245000121,BELÉM,1501402,urban,Metropolitan Region of Belém,0,921,359,28,327,0,4,359,34,322,1,2,0,0
150140245000122,BELÉM,1501402,urban,Metropolitan Region of Belém,1,988,287,1,286,0,0,287,134,153,0,0,0,0
150140245000123,BELÉM,1501402,urban,Metropolitan Region of Belém,0,1429,271,18,253,0,0,271,210,15,46,0,0,0
150140245000124,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1262,241,217,20,0,4,241,7,158,76,0,0,0
150140245000125,BELÉM,1501402,urban,Metropolitan Region of Belém,0,637,343,262,59,0,22,326,78,131,30,82,0,5
150140245000126,BELÉM,1501402,urban,Metropolitan Region of Belém,0,675,385,307,77,0,1,377,62,83,217,15,0,0
150140245000127,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1167,98,82,15,0,1,97,18,78,0,1,0,0
150140245000128,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1174,220,205,14,0,1,220,9,130,76,3,0,2
150140245000129,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1240,241,224,17,0,0,241,32,203,5,1,0,0
150140245000130,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1000,210,197,13,0,0,210,12,2,196,0,0,0
150140245000131,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1009,212,194,18,0,0,212,29,8,174,1,0,0
150140245000132,BELÉM,1501402,urban,Metropolitan Region of Belém,0,951,320,266,53,0,1,309,56,1,243,0,5,4
150140245000133,BELÉM,1501402,urban,Metropolitan Region of Belém,1,2053,240,184,55,0,1,239,107,127,3,0,0,2
150140245000134,BELÉM,1501402,urban,Metropolitan Region of Belém,1,2216,285,243,42,0,0,285,83,202,0,0,0,0
150140245000135,BELÉM,1501402,urban,Metropolitan Region of Belém,1,2035,357,102,253,0,2,357,50,7,300,0,0,0
150140245000136,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1685,226,212,13,0,1,226,217,9,0,0,0,0
150140245000137,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1781,218,206,12,0,0,218,146,65,7,0,0,0
150140245000138,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1616,229,228,0,0,1,229,214,15,0,0,0,0
150140245000139,BELÉM,1501402,urban,Metropolitan Region of Belém,0,989,259,153,101,0,5,258,90,164,3,0,0,1
150140245000140,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1685,346,337,6,0,3,346,341,5,0,0,0,0
150140245000141,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1794,250,230,20,0,0,249,146,31,68,4,0,0
150140245000142,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1942,200,183,16,0,1,200,143,54,2,0,0,1
150140245000143,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1937,164,156,8,0,0,162,48,111,3,0,0,0
150140245000144,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1365,370,287,57,0,26,365,138,165,59,3,0,0
150140245000145,BELÉM,1501402,urban,Metropolitan Region of Belém,1,2291,404,92,311,0,1,402,94,230,68,10,0,0
150140245000146,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1902,385,151,232,0,2,385,227,4,144,10,0,0
150140245000147,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1917,284,91,189,0,4,283,101,15,167,0,0,0
150140245000148,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1162,309,133,175,0,1,308,169,139,0,0,0,0
150140245000149,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1279,254,142,104,0,8,251,98,91,4,15,33,10
150140245000150,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1069,306,211,89,0,6,305,135,1,95,73,0,1
150140245000151,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1115,292,164,125,0,3,289,84,2,134,5,63,1
150140245000152,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1275,427,172,251,0,4,427,279,5,143,0,0,0
150140245000153,BELÉM,1501402,urban,Metropolitan Region of Belém,1,841,321,157,161,0,3,314,138,171,5,0,0,0
150140245000154,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1532,300,96,203,0,1,300,285,7,8,0,0,0
150140245000155,BELÉM,1501402,urban,Metropolitan Region of Belém,1,815,450,329,121,0,0,450,40,394,15,0,0,1
150140245000156,BELÉM,1501402,urban,Metropolitan Region of Belém,0,873,387,104,235,0,48,385,29,314,27,15,0,0
150140245000157,BELÉM,1501402,urban,Metropolitan Region of Belém,0,994,337,76,114,0,147,337,10,255,55,11,0,6
150140245000158,BELÉM,1501402,urban,Metropolitan Region of Belém,1,529,296,43,181,0,72,294,10,21,248,15,0,0
150140245000159,BELÉM,1501402,urban,Metropolitan Region of Belém,0,851,151,126,1,0,24,146,3,46,44,53,0,0
150140245000160,BELÉM,1501402,urban,Metropolitan Region of Belém,0,1818,135,48,16,0,71,135,13,33,43,43,2,1
150140245000161,BELÉM,1501402,urban,Metropolitan Region of Belém,0,533,449,425,19,0,5,449,79,9,352,6,2,1
150140245000162,BELÉM,1501402,urban,Metropolitan Region of Belém,0,533,236,30,60,0,146,206,7,133,16,50,0,0
150140245000163,BELÉM,1501402,urban,Metropolitan Region of Belém,0,434,189,56,133,0,0,183,27,111,5,8,32,0
150140245000164,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1358,341,324,15,0,2,341,132,197,1,9,0,2
150140245000165,BELÉM,1501402,urban,Metropolitan Region of Belém,0,812,480,96,224,0,160,479,69,197,149,57,0,7
150140245000166,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1327,333,277,54,0,2,332,83,203,45,1,0,0
150140245000167,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1433,292,257,34,0,1,292,90,6,195,1,0,0
150140245000168,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1885,373,332,35,0,6,373,158,166,49,0,0,0
