"";"sector_code";"municipality_name";"municipality_code";"sector_situation";"MR_name";"sector_type";"V005_bas";"V002_h01";"V012_h01";"V013_h01";"V014_h01";"V015_h01";"V016_h01";"V017_h01";"V018_h01";"V019_h01";"V020_h01";"V021_h01";"V022_h01";"V002_h02"
"145";"150080005000145";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";576,96;218;0;194;0;24;216;12;2;167;30;5;0;787
"146";"150080005000146";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";1022,06;173;1;170;0;2;173;0;161;12;0;0;0;603
"147";"150080005000147";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";800,76;206;3;137;0;66;206;26;4;171;2;0;3;719
"148";"150080005000148";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";829,18;430;92;326;0;12;429;1;4;406;15;0;3;1723
"149";"150080005000149";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";1069,57;220;10;169;0;41;214;15;46;143;0;10;0;731
"150";"150080005000150";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";533,9;246;0;205;0;41;238;0;224;5;2;0;7;934
"151";"150080005000151";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";704,62;354;13;237;0;104;336;0;12;307;9;3;5;1460
"152";"150080005000152";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1199,67;200;0;198;0;2;199;15;12;170;2;0;0;718
"153";"150080005000153";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";671,09;307;6;204;0;97;273;2;198;49;11;13;0;1202
"154";"150080005000154";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";669,85;344;16;272;0;56;320;12;44;247;14;0;3;1352
"155";"150080005000155";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";1110,42;182;11;128;0;43;182;119;49;11;2;1;0;608
"156";"150080005000156";"ANANINDEUA";"1500800";"2";"Metropolitan Region of Belém";"not_slum";996,01;239;195;34;0;10;233;15;2;214;0;0;2;836
